Section,Table/Figure,Title,Period,Country,Age_years,Breakdown/Measure,Data_Type,Value,Value_Denominator,Value_Numerator
Characteristics,Table 1,"Adolescents and young adults with type 1 diabetes, by sex",2017-21,England,15-25,Total,%,100.0,57060.0,57060.0
Characteristics,Table 1,"Adolescents and young adults with type 1 diabetes, by sex",2017-21,England,15-25,Female,%,44.8,57060.0,25540.0
Characteristics,Table 1,"Adolescents and young adults with type 1 diabetes, by sex",2017-21,England,15-25,Male,%,55.2,57060.0,31520.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Total,%,100.0,57060.0,57060.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,White,%,82.1,57060.0,46850.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Asian,%,5.5,57060.0,3155.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Black,%,3.7,57060.0,2100.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Mixed,%,2.1,57060.0,1205.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Other,%,1.9,57060.0,1095.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,Unknown/Not stated,%,4.7,57060.0,2655.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: Total,%,100.0,54405.0,54405.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: White,%,86.1,54405.0,46850.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: Asian,%,5.8,54405.0,3155.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: Black,%,3.9,54405.0,2100.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: Mixed,%,2.2,54405.0,1205.0
Characteristics,Table 2,"Adolescents and young adults with type 1 diabetes, by ethnicity",2017-21,England,15-25,% of known ethnicity: Other,%,2.0,54405.0,1095.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,Total,%,100.0,57060.0,57060.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,Most deprived,%,20.3,57060.0,11595.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,2nd most deprived,%,18.7,57060.0,10670.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,3rd most deprived,%,18.1,57060.0,10340.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,2nd least deprived,%,16.7,57060.0,9515.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,Least deprived,%,17.0,57060.0,9700.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,Unknown,%,9.2,57060.0,5235.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: Total,%,100.0,51825.0,51825.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: Most deprived,%,22.4,51825.0,11595.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: 2nd most deprived,%,20.6,51825.0,10670.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: 3rd most deprived,%,20.0,51825.0,10340.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: 2nd least deprived,%,18.4,51825.0,9515.0
Characteristics,Table 3,"Adolescents and young adults with type 1 diabetes, by social deprivation",2017-21,England,15-25,% of known area of deprivation: Least deprived,%,18.7,51825.0,9700.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,Underweight,%,3.6,47080.0,1705.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,Healthy weight,%,50.3,47080.0,23660.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,Overweight,%,25.9,47080.0,12195.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,Obese,%,17.4,47080.0,8175.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,Not known,%,2.9,47080.0,1345.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,% of known BMI: Underweight,%,3.7,45735.0,1705.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,% of known BMI: Healthy weight,%,51.7,45735.0,23660.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,% of known BMI: Overweight,%,26.7,45735.0,12195.0
Characteristics,Table 4,"Adolescents and young adults with type 1 diabetes, by BMI status",2017-21,England,15-25,% of known BMI: Obese,%,17.9,45735.0,8175.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,15,Underweight,%,1.0,8845.0,90.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,15,Healthy weight,%,55.9,8845.0,4945.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,15,Overweight,%,18.4,8845.0,1630.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,15,Obese,%,24.7,8845.0,2185.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,16,Underweight,%,1.1,9280.0,100.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,16,Healthy weight,%,56.4,9280.0,5235.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,16,Overweight,%,17.6,9280.0,1635.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,16,Obese,%,24.9,9280.0,2310.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,17,Underweight,%,1.7,9740.0,165.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,17,Healthy weight,%,56.3,9740.0,5485.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,17,Overweight,%,18.0,9740.0,1755.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,17,Obese,%,24.0,9740.0,2335.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,18,Underweight,%,5.5,9625.0,530.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,18,Healthy weight,%,58.1,9625.0,5595.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,18,Overweight,%,24.9,9625.0,2400.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,18,Obese,%,11.4,9625.0,1100.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,19,Underweight,%,5.1,8405.0,430.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,19,Healthy weight,%,55.9,8405.0,4695.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,19,Overweight,%,26.2,8405.0,2205.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,19,Obese,%,12.8,8405.0,1075.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,20,Underweight,%,4.3,8105.0,350.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,20,Healthy weight,%,54.9,8105.0,4450.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,20,Overweight,%,26.8,8105.0,2175.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,20,Obese,%,13.9,8105.0,1130.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,21,Underweight,%,4.3,8535.0,370.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,21,Healthy weight,%,51.8,8535.0,4420.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,21,Overweight,%,28.5,8535.0,2430.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,21,Obese,%,15.4,8535.0,1315.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,22,Underweight,%,4.1,8955.0,365.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,22,Healthy weight,%,51.0,8955.0,4570.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,22,Overweight,%,29.0,8955.0,2595.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,22,Obese,%,15.9,8955.0,1425.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,23,Underweight,%,4.0,9220.0,365.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,23,Healthy weight,%,49.7,9220.0,4580.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,23,Overweight,%,30.0,9220.0,2770.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,23,Obese,%,16.3,9220.0,1505.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,24,Underweight,%,3.6,9320.0,340.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,24,Healthy weight,%,48.6,9320.0,4530.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,24,Overweight,%,30.5,9320.0,2840.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,24,Obese,%,17.3,9320.0,1615.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,25,Underweight,%,2.9,9675.0,285.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,25,Healthy weight,%,46.3,9675.0,4480.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,25,Overweight,%,32.1,9675.0,3110.0
Characteristics,Figure 1,"Adolescents and young adults with type 1 diabetes, by BMI status and age at BMI measurement",2017-21,England,25,Obese,%,18.6,9675.0,1795.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,15,HbA1c,%,82.6,10960.0,9050.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,16,HbA1c,%,85.4,11490.0,9815.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,17,HbA1c,%,85.9,12140.0,10430.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,18,HbA1c,%,82.3,12955.0,10660.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,19,HbA1c,%,78.0,13640.0,10645.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,20,HbA1c,%,78.0,14205.0,11085.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,21,HbA1c,%,78.4,14675.0,11505.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,22,HbA1c,%,79.3,15205.0,12065.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,23,HbA1c,%,79.9,15505.0,12385.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,24,HbA1c,%,79.7,15895.0,12665.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,25,HbA1c,%,80.7,16320.0,13165.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,15,UACR,%,57.0,10960.0,6250.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,16,UACR,%,55.9,11490.0,6425.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,17,UACR,%,52.3,12140.0,6350.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,18,UACR,%,44.2,12955.0,5725.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,19,UACR,%,38.8,13640.0,5290.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,20,UACR,%,39.2,14205.0,5565.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,21,UACR,%,39.1,14675.0,5740.0
